#{"t_start": 1700553659.4535732, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-1799.095407,128,191.754243
-1072.925225,98,192.643548
-795.819748,63,193.275101
-762.081839,63,193.720075
-751.869535,71,194.166462
-743.187156,59,194.722868
-1521.999955,119,195.164304
-1226.788699,103,195.941881
-1101.373594,89,196.63381
-1788.772497,130,197.307591
-888.560059,79,198.169526
-1255.445711,106,198.707776
-1262.181933,96,199.471062
-1288.078658,97,200.130949
-699.430413,59,200.821343
-711.944902,58,201.196548
-805.617811,70,201.61157
-869.084966,73,202.113496
-773.559919,80,202.63047
-696.525419,59,203.188603
-1299.098037,109,203.705215
-874.500345,75,204.490946
-1408.257639,109,205.051895
-816.830223,66,205.817693
-1270.190576,101,206.288003
-1066.104916,88,206.936182
-756.331425,60,207.488301
-768.71369,60,207.886355
-1368.408666,103,208.347633
-1606.255204,122,209.056616
-2324.369657,152,209.909783
-800.532689,69,210.87559
-1633.983165,119,211.372761
-741.090077,58,212.210841
-769.797408,60,212.621522
-974.742386,83,213.040662
-778.895967,63,213.576077
-797.859845,67,214.011214
-1054.720283,96,214.513505
-1334.094887,100,215.222203
-1318.335262,99,215.9265
-786.507776,87,216.697588
-767.620391,80,217.309722
-1089.736034,93,217.862648
-1053.674861,89,218.546191
-802.628664,64,219.128436
-738.317561,59,219.561904
-814.510147,89,219.962523
-747.579608,59,220.544963
-735.384352,58,221.009581
-698.241393,55,221.386905
-706.964523,59,221.737324
-1222.600034,106,222.157615
-772.539438,59,222.876559
-844.54382,81,223.341649
-825.89661,70,223.915168
-843.875822,70,224.425013
-1325.867638,100,224.977982
-749.528021,57,225.696298
-1368.700258,104,226.14678
-777.743508,60,226.848813
-1777.259575,137,227.372478
-837.940573,71,228.285026
-1315.199428,99,228.79577
-1219.8746,94,229.477055
-828.927006,68,230.156135
-735.820082,56,230.613567
-698.170161,57,230.973385
-968.077052,82,231.353708
-1832.338721,127,231.917837
-769.978744,64,232.714954
-1622.23408,121,233.229885
-1281.781709,111,234.032034
-1215.574103,96,234.824589
-766.645933,61,235.499183
-1413.120364,106,235.947341
-810.264038,84,236.670139
-760.362919,58,237.253432
-764.834308,57,237.663765
-733.000976,54,238.081294
-1261.257752,102,238.537446
-1190.491174,102,239.237867
-769.970729,58,239.863016
-1848.618019,131,240.271078
-1081.398762,89,241.138412
-722.585205,56,241.780573
-1288.674792,111,242.219823
-1782.801377,129,243.105722
-1282.33386,99,244.073792
-1028.508355,96,244.794195
-839.072742,80,245.502658
-736.02023,57,246.097446
-1201.247919,93,246.571009
-1122.703778,103,247.287952
-745.887596,63,248.145474
-1433.363858,114,248.684761
-898.879697,87,249.490505
-765.899584,64,250.197347
-850.343005,74,250.698154
-1537.978262,118,251.311557
-751.801908,58,252.165614
-966.041119,89,252.63527
-711.239256,58,253.335337
-1113.832717,99,253.773917
-1375.656442,104,254.466597
-734.046578,56,255.140951
-945.976059,93,255.559455
-1536.189656,116,256.229691
-1309.967828,101,257.077128
-983.977775,97,257.856645
-744.433442,56,258.574362
-1133.473415,99,259.111093
-813.408992,86,259.963309
-1435.896053,118,260.711151
-1084.071888,91,261.605478
-768.691235,64,262.361879
-1454.548558,111,262.852198
-741.930955,56,263.62495
-794.201416,60,264.013647
-1155.905303,92,264.445933
-1059.478637,95,265.100069
-1130.541728,110,265.781917
-1210.48946,98,266.529791
-807.40478,65,267.288459
-1423.940524,106,267.792967
-747.494852,61,268.502202
-818.757321,80,268.951719
-1356.668085,105,269.526736
-942.285555,81,270.256463
-916.643422,93,270.83393
-776.175878,62,271.457055
-1625.626652,132,272.017427
-1134.261275,97,272.951002
-741.960372,59,273.637571
-1590.618339,118,274.135584
-779.50914,64,274.923294
-2236.025987,147,275.48221
-1641.196957,126,276.53139
-1508.037265,115,277.530694
-1217.308113,99,278.429582
-751.839584,58,279.180001
-765.958431,56,279.633767
-1851.512453,130,280.092748
-744.637238,62,280.968873
-776.664158,67,281.421502
-703.701468,59,281.949723
-878.491032,83,282.401347
-786.992243,69,283.032268
-727.4117,58,283.501424
-767.343299,64,283.940575
-704.144105,56,284.385466
-1172.927615,99,284.799531
-745.353934,56,285.495115
-1183.466981,98,285.919082
-1443.415422,115,286.706592
-754.359935,59,287.497835
-781.699078,68,287.89608
-767.527256,60,288.406619
-789.548054,63,288.893704
-1774.476275,130,289.42289
-1291.7179,99,290.424157
-1016.169076,85,291.272523
-1601.398783,120,291.970698
-1601.1917,118,292.91975
-1137.591152,116,293.808437
-1083.364372,87,294.727675
-759.326474,58,295.339012
-903.612891,75,295.758926
-1132.213429,90,296.355104
-829.000627,68,296.952781
-751.397472,60,297.444538
-1206.516386,98,297.910095
-877.787958,79,298.679322
-1314.442529,99,299.274843
-831.774677,79,299.990022
-1121.559494,151,300.680379
-806.939555,65,301.804879
-747.393102,61,302.259157
-1099.23998,95,302.764365
-1100.670755,93,303.490866
-702.304597,58,304.181265
-900.054217,78,304.642969
-1169.671085,93,305.246243
-860.654007,80,305.99891
-798.578108,61,306.560909
-813.667389,68,307.008464
-1180.180308,102,307.560937
-1275.282309,97,308.348833
-1252.374608,103,309.063928
-2251.436381,159,309.872998
-1279.978794,98,311.135548
-1271.046133,100,311.88308
-775.861782,60,312.549577
-784.049781,69,312.971046
-1419.544267,115,313.500776
-1897.800794,132,314.315823
-1630.571596,121,315.339961
-1152.097505,103,316.347498
-733.29626,59,317.130719
-1228.279015,98,317.57303
-1456.971111,116,318.323891
-884.748924,75,319.139588
-1511.498493,122,319.732107
-730.777785,56,320.590333
-1570.759917,117,321.133057
-808.756639,64,321.95368
-1322.976248,99,322.462928
-805.877351,64,323.178072
-914.86388,80,323.751442
-735.485723,58,324.385823
-1891.726284,133,324.937929
-733.962892,59,326.036531
-1685.872103,127,326.524195
-1114.291551,88,327.465971
-1698.918837,127,328.225067
-945.11707,81,329.200377
-1313.773874,99,329.81431
-920.941912,77,330.506462
-941.331672,87,331.067472
-1334.883274,101,331.767833
-774.448942,64,332.392229
-2081.35415,142,332.926297
-1207.346739,101,334.109234
-1057.651375,88,334.881837
-1461.271472,117,335.575302
-1131.085322,92,336.374576
-868.905654,89,337.036071
-688.722972,57,337.636204
-1295.739625,98,338.131469
-1120.255936,89,338.855754
-1607.625876,117,339.528589
-1142.703996,90,340.254452
-1215.842279,102,340.894023
-1338.570557,100,341.700835
-1354.122412,105,342.374431
-969.356169,91,343.126355
-860.298651,82,343.731383
-857.975237,78,344.301147
-803.429532,65,344.9041
-870.884469,89,345.355682
-1707.719782,126,346.021907
-1967.780763,134,346.928542
-997.469065,83,348.018647
-1196.712245,92,348.600839
-766.82209,58,349.241875
-857.06404,73,349.654413
-758.61083,59,350.201604
-680.705275,56,350.614638
-1781.075649,126,351.125691
-797.98612,79,351.964272
-808.55291,66,352.48589
-718.901846,56,352.906297
-846.081109,71,353.316732
-1649.512863,125,353.807378
-1297.276242,103,354.65536
-975.931954,93,355.653212
-808.944706,70,356.616629
-1506.227277,112,357.443166
-1093.277317,89,358.531116
-953.30919,80,359.282505
-1923.822106,131,360.01338
-1216.743563,97,360.943844
-841.876097,87,361.560945
-1021.817288,84,362.105364
-1200.515339,96,362.762262
-805.471315,66,363.44968
-1296.751107,106,363.96198
-1052.842405,93,364.654966
-751.318646,63,365.298026
-729.987302,53,365.807264
-1275.279538,103,366.21817
-1549.211625,115,366.943796
-1352.331636,116,367.708874
-1003.688345,86,368.443489
-947.840663,80,368.979824
-917.900414,95,369.676771
-809.223098,80,370.308712
-791.327234,68,370.869873
-935.679999,79,371.348966
-1567.587802,115,371.886291
-1422.902215,115,372.649081
-810.896087,66,373.452912
-879.894008,77,373.873922
-886.468416,75,374.41846
-1265.241383,96,374.961641
-715.665574,56,375.604117
-1144.473872,95,376.010804
-1600.696107,117,376.688612
-761.392646,62,377.460991
-893.465428,76,377.903107
-1244.301752,95,378.456477
-1345.158126,100,379.141077
-1381.15733,106,379.862332
-1829.811698,129,380.653118
-852.654915,68,381.516512
-739.55524,59,381.999327
-832.249225,71,382.443889
-761.873959,58,382.937228
-1180.035161,92,383.379516
-838.652289,74,384.05891
-1306.281148,110,384.619227
-782.363776,63,385.384987
-778.162657,69,385.818266
-740.556909,59,386.270213
-696.60627,56,386.667091
-946.509714,81,387.068646
-1327.026322,99,387.629686
-952.832104,82,388.283314
-960.893139,92,388.823742
-898.712119,77,389.429777
-758.681705,75,389.943183
-804.198526,66,390.431449
-834.066353,91,390.891902
-883.637953,78,391.54901
-1937.171177,133,392.093749
-753.711165,60,392.932161
-1459.401713,108,393.369695
