datetime,symbol,open,high,low,close,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
2026-02-28 05:00:00,BTCUSDT,65663.21,65729.65,65500.0,65591.03,300.20395,19691152.3827437,69264,102.64567,6733400.837967
2026-02-28 06:00:00,BTCUSDT,65591.03,65591.04,63030.0,63216.01,3175.19445,203699115.89985,615840,1289.80747,82713203.0820612
2026-02-28 07:00:00,BTCUSDT,63216.01,64327.22,63038.0,63826.0,2127.97927,135680221.7236071,416921,1082.02848,68953873.8075275
2026-02-28 08:00:00,BTCUSDT,63825.99,63877.09,63411.39,63473.28,1118.13838,71149963.6515905,264171,529.20575,33679179.5557958
2026-02-28 09:00:00,BTCUSDT,63473.27,64005.35,63372.1,63658.54,737.11739,46946317.9929025,220795,439.40455,27997595.4161298
2026-02-28 10:00:00,BTCUSDT,63658.55,64053.93,63452.64,64010.39,1633.42712,104290889.6353478,197769,878.14376,56077416.5390825
2026-02-28 11:00:00,BTCUSDT,64010.38,64307.44,63791.25,63844.2,1245.63976,79810960.2047814,156555,664.42721,42571700.9937781
2026-02-28 12:00:00,BTCUSDT,63844.2,64082.66,63827.2,64017.19,474.84169,30383260.392442,95364,316.81442,20275237.5098841
2026-02-28 13:00:00,BTCUSDT,64017.18,65216.97,63888.89,65106.44,1748.13055,112602961.6547146,239934,1029.37855,66289860.6445105
2026-02-28 14:00:00,BTCUSDT,65106.45,65360.51,64278.5,64435.61,1331.97244,86384184.1959513,331907,673.00491,43665522.5141453
2026-02-28 15:00:00,BTCUSDT,64435.62,65020.75,64200.0,64841.18,731.53889,47296650.1036484,205062,397.03404,25679345.3462473
2026-02-28 16:00:00,BTCUSDT,64841.17,65206.25,64681.81,65094.3,500.23365,32507176.3279884,199610,293.70961,19091198.4257341
2026-02-28 17:00:00,BTCUSDT,65094.29,65555.0,64828.03,65442.62,595.58409,38777841.0138276,175603,280.29737,18263588.7278774
2026-02-28 18:00:00,BTCUSDT,65442.61,66157.61,65185.7,65911.84,830.58148,54542262.564758,278973,472.47092,31037923.3736613
2026-02-28 19:00:00,BTCUSDT,65911.83,66666.65,65602.65,66362.01,1072.73124,71025218.8431786,322392,656.72635,43494282.081443
2026-02-28 20:00:00,BTCUSDT,66362.01,67151.68,66190.61,66959.62,840.13263,56107117.2412369,329810,476.84339,31844199.4239258
2026-02-28 21:00:00,BTCUSDT,66959.63,67055.56,66368.42,66723.22,934.75984,62309093.5704764,248442,433.85291,28933925.1323296
2026-02-28 22:00:00,BTCUSDT,66723.23,67760.0,66608.82,67103.64,1310.09118,87950234.2035777,395017,675.31952,45344629.2227813
2026-02-28 23:00:00,BTCUSDT,67103.63,67210.0,66733.73,66973.26,483.13759,32355317.6860528,167457,201.6889,13506519.8065549
2026-03-01 00:00:00,BTCUSDT,66973.26,67121.8,66620.5,66791.29,560.35194,37472155.8090198,185423,304.82012,20393713.924538
2026-03-01 01:00:00,BTCUSDT,66791.29,67703.32,66042.72,67339.36,1630.19028,108995343.8342873,360834,899.21803,60174380.3804906
2026-03-01 02:00:00,BTCUSDT,67339.36,68199.99,67339.36,67620.65,1861.8227,126344237.8842943,418773,939.97406,63793129.9318799
